date,country,confirmed,deaths,recovered
2020-2-26,Lithuania,0,0,0
2020-2-27,Lithuania,0,0,0
2020-2-28,Lithuania,1,0,0
2020-2-29,Lithuania,1,0,0
2020-3-1,Lithuania,1,0,0
2020-3-2,Lithuania,1,0,0
2020-3-3,Lithuania,1,0,0
2020-3-4,Lithuania,1,0,0
2020-3-5,Lithuania,1,0,0
2020-3-6,Lithuania,1,0,0
2020-3-7,Lithuania,1,0,0
2020-3-8,Lithuania,1,0,0
2020-3-9,Lithuania,1,0,0
2020-3-10,Lithuania,1,0,0
2020-3-11,Lithuania,3,0,0
2020-3-12,Lithuania,3,0,0
2020-3-13,Lithuania,6,0,0
2020-3-14,Lithuania,8,0,0
2020-3-15,Lithuania,12,0,1
2020-3-16,Lithuania,17,0,1
2020-3-17,Lithuania,25,0,1
2020-3-18,Lithuania,27,0,1
2020-3-19,Lithuania,36,0,1
2020-3-20,Lithuania,49,0,1
2020-3-21,Lithuania,83,1,1
2020-3-22,Lithuania,143,1,1
2020-3-23,Lithuania,179,1,1
2020-3-24,Lithuania,209,2,1
2020-3-25,Lithuania,274,4,1
2020-3-26,Lithuania,299,4,1
2020-1-22,Cambodia,0,0,0
2020-1-23,Cambodia,0,0,0
2020-1-24,Cambodia,0,0,0
2020-1-25,Cambodia,0,0,0
2020-1-26,Cambodia,0,0,0
2020-1-27,Cambodia,1,0,0
2020-1-28,Cambodia,1,0,0
2020-1-29,Cambodia,1,0,0
2020-1-30,Cambodia,1,0,0
2020-1-31,Cambodia,1,0,0
2020-2-1,Cambodia,1,0,0
2020-2-2,Cambodia,1,0,0
2020-2-3,Cambodia,1,0,0
2020-2-4,Cambodia,1,0,0
2020-2-5,Cambodia,1,0,0
2020-2-6,Cambodia,1,0,0
2020-2-7,Cambodia,1,0,0
2020-2-8,Cambodia,1,0,0
2020-2-9,Cambodia,1,0,0
2020-2-10,Cambodia,1,0,0
2020-2-11,Cambodia,1,0,0
2020-2-12,Cambodia,1,0,1
2020-2-13,Cambodia,1,0,1
2020-2-14,Cambodia,1,0,1
2020-2-15,Cambodia,1,0,1
2020-2-16,Cambodia,1,0,1
2020-2-17,Cambodia,1,0,1
2020-2-18,Cambodia,1,0,1
2020-2-19,Cambodia,1,0,1
2020-2-20,Cambodia,1,0,1
2020-2-21,Cambodia,1,0,1
2020-2-22,Cambodia,1,0,1
2020-2-23,Cambodia,1,0,1
2020-2-24,Cambodia,1,0,1
2020-2-25,Cambodia,1,0,1
2020-2-26,Cambodia,1,0,1
2020-2-27,Cambodia,1,0,1
2020-2-28,Cambodia,1,0,1
2020-2-29,Cambodia,1,0,1
2020-3-1,Cambodia,1,0,1
2020-3-2,Cambodia,1,0,1
2020-3-3,Cambodia,1,0,1
2020-3-4,Cambodia,1,0,1
2020-3-5,Cambodia,1,0,1
2020-3-6,Cambodia,1,0,1
2020-3-7,Cambodia,1,0,1
2020-3-8,Cambodia,2,0,1
2020-3-9,Cambodia,2,0,1
2020-3-10,Cambodia,2,0,1
2020-3-11,Cambodia,3,0,1
2020-3-12,Cambodia,3,0,1
2020-3-13,Cambodia,5,0,1
2020-3-14,Cambodia,7,0,1
2020-3-15,Cambodia,7,0,1
2020-3-16,Cambodia,7,0,1
2020-3-17,Cambodia,33,0,1
2020-3-18,Cambodia,35,0,1
2020-3-19,Cambodia,37,0,1
2020-3-20,Cambodia,51,0,1
2020-3-21,Cambodia,53,0,1
2020-3-22,Cambodia,84,0,1
2020-3-23,Cambodia,87,0,1
2020-3-24,Cambodia,91,0,4
2020-3-25,Cambodia,96,0,10
2020-3-26,Cambodia,96,0,10
2020-1-22,Ethiopia,0,0,0
2020-1-23,Ethiopia,0,0,0
2020-1-24,Ethiopia,0,0,0
2020-1-25,Ethiopia,0,0,0
2020-1-26,Ethiopia,0,0,0
2020-1-27,Ethiopia,0,0,0
2020-1-28,Ethiopia,0,0,0
2020-1-29,Ethiopia,0,0,0
2020-1-30,Ethiopia,0,0,0
2020-1-31,Ethiopia,0,0,0
2020-2-1,Ethiopia,0,0,0
2020-2-2,Ethiopia,0,0,0
2020-2-3,Ethiopia,0,0,0
2020-2-4,Ethiopia,0,0,0
2020-2-5,Ethiopia,0,0,0
2020-2-6,Ethiopia,0,0,0
2020-2-7,Ethiopia,0,0,0
2020-2-8,Ethiopia,0,0,0
2020-2-9,Ethiopia,0,0,0
2020-2-10,Ethiopia,0,0,0
2020-2-11,Ethiopia,0,0,0
2020-2-12,Ethiopia,0,0,0
2020-2-13,Ethiopia,0,0,0
2020-2-14,Ethiopia,0,0,0
2020-2-15,Ethiopia,0,0,0
2020-2-16,Ethiopia,0,0,0
2020-2-17,Ethiopia,0,0,0
2020-2-18,Ethiopia,0,0,0
2020-2-19,Ethiopia,0,0,0
2020-2-20,Ethiopia,0,0,0
2020-2-21,Ethiopia,0,0,0
2020-2-22,Ethiopia,0,0,0
2020-2-23,Ethiopia,0,0,0
2020-2-24,Ethiopia,0,0,0
2020-2-25,Ethiopia,0,0,0
2020-2-26,Ethiopia,0,0,0
2020-2-27,Ethiopia,0,0,0
2020-2-28,Ethiopia,0,0,0
2020-2-29,Ethiopia,0,0,0
2020-3-1,Ethiopia,0,0,0
2020-3-2,Ethiopia,0,0,0
2020-3-3,Ethiopia,0,0,0
2020-3-4,Ethiopia,0,0,0
2020-3-5,Ethiopia,0,0,0
2020-3-6,Ethiopia,0,0,0
2020-3-7,Ethiopia,0,0,0
2020-3-8,Ethiopia,0,0,0
2020-3-9,Ethiopia,0,0,0
2020-3-10,Ethiopia,0,0,0
2020-3-11,Ethiopia,0,0,0
2020-3-12,Ethiopia,0,0,0
2020-3-13,Ethiopia,1,0,0
2020-3-14,Ethiopia,1,0,0
2020-3-15,Ethiopia,1,0,0
2020-3-16,Ethiopia,5,0,0
2020-3-17,Ethiopia,5,0,0
2020-3-18,Ethiopia,6,0,0
2020-3-19,Ethiopia,6,0,0
2020-3-20,Ethiopia,9,0,0
2020-3-21,Ethiopia,9,0,0
2020-3-22,Ethiopia,11,0,4
2020-3-23,Ethiopia,11,0,4
2020-3-24,Ethiopia,12,0,0
2020-3-25,Ethiopia,12,0,0
2020-3-26,Ethiopia,12,0,0
2020-1-22,Grenada,0,0,0
2020-1-23,Grenada,0,0,0
2020-1-24,Grenada,0,0,0
2020-1-25,Grenada,0,0,0
2020-1-26,Grenada,0,0,0
2020-1-27,Grenada,0,0,0
2020-1-28,Grenada,0,0,0
2020-1-29,Grenada,0,0,0
2020-1-30,Grenada,0,0,0
2020-1-31,Grenada,0,0,0
2020-2-1,Grenada,0,0,0
2020-2-2,Grenada,0,0,0
2020-2-3,Grenada,0,0,0
2020-2-4,Grenada,0,0,0
2020-2-5,Grenada,0,0,0
2020-2-6,Grenada,0,0,0
2020-2-7,Grenada,0,0,0
2020-2-8,Grenada,0,0,0
2020-2-9,Grenada,0,0,0
2020-2-10,Grenada,0,0,0
2020-2-11,Grenada,0,0,0
2020-2-12,Grenada,0,0,0
2020-2-13,Grenada,0,0,0
2020-2-14,Grenada,0,0,0
2020-2-15,Grenada,0,0,0
2020-2-16,Grenada,0,0,0
2020-2-17,Grenada,0,0,0
2020-2-18,Grenada,0,0,0
2020-2-19,Grenada,0,0,0
2020-2-20,Grenada,0,0,0
2020-2-21,Grenada,0,0,0
2020-2-22,Grenada,0,0,0
2020-2-23,Grenada,0,0,0
2020-2-24,Grenada,0,0,0
2020-2-25,Grenada,0,0,0
2020-2-26,Grenada,0,0,0
2020-2-27,Grenada,0,0,0
2020-2-28,Grenada,0,0,0
2020-2-29,Grenada,0,0,0
2020-3-1,Grenada,0,0,0
2020-3-2,Grenada,0,0,0
2020-3-3,Grenada,0,0,0
2020-3-4,Grenada,0,0,0
2020-3-5,Grenada,0,0,0
2020-3-6,Grenada,0,0,0
2020-3-7,Grenada,0,0,0
2020-3-8,Grenada,0,0,0
2020-3-9,Grenada,0,0,0
2020-3-10,Grenada,0,0,0
2020-3-11,Grenada,0,0,0
2020-3-12,Grenada,0,0,0
2020-3-13,Grenada,0,0,0
2020-3-14,Grenada,0,0,0
2020-3-15,Grenada,0,0,0
2020-3-16,Grenada,0,0,0
2020-3-17,Grenada,0,0,0
2020-3-18,Grenada,0,0,0
2020-3-19,Grenada,0,0,0
2020-3-20,Grenada,0,0,0
2020-3-21,Grenada,0,0,0
2020-3-22,Grenada,1,0,0
2020-3-23,Grenada,1,0,0
2020-3-24,Grenada,1,0,0
2020-3-25,Grenada,1,0,0
2020-3-26,Grenada,7,0,0
2020-1-22,Belize,0,0,0
2020-1-23,Belize,0,0,0
2020-1-24,Belize,0,0,0
2020-1-25,Belize,0,0,0
2020-1-26,Belize,0,0,0
2020-1-27,Belize,0,0,0
2020-1-28,Belize,0,0,0
2020-1-29,Belize,0,0,0
2020-1-30,Belize,0,0,0
2020-1-31,Belize,0,0,0
2020-2-1,Belize,0,0,0
2020-2-2,Belize,0,0,0
2020-2-3,Belize,0,0,0
2020-2-4,Belize,0,0,0
2020-2-5,Belize,0,0,0
2020-2-6,Belize,0,0,0
2020-2-7,Belize,0,0,0
2020-2-8,Belize,0,0,0
2020-2-9,Belize,0,0,0
2020-2-10,Belize,0,0,0
2020-2-11,Belize,0,0,0
2020-2-12,Belize,0,0,0
2020-2-13,Belize,0,0,0
2020-2-14,Belize,0,0,0
2020-2-15,Belize,0,0,0
2020-2-16,Belize,0,0,0
2020-2-17,Belize,0,0,0
2020-2-18,Belize,0,0,0
2020-2-19,Belize,0,0,0
2020-2-20,Belize,0,0,0
2020-2-21,Belize,0,0,0
2020-2-22,Belize,0,0,0
2020-2-23,Belize,0,0,0
2020-2-24,Belize,0,0,0
2020-2-25,Belize,0,0,0
2020-2-26,Belize,0,0,0
2020-2-27,Belize,0,0,0
2020-2-28,Belize,0,0,0
2020-2-29,Belize,0,0,0
2020-3-1,Belize,0,0,0
2020-3-2,Belize,0,0,0
2020-3-3,Belize,0,0,0
2020-3-4,Belize,0,0,0
2020-3-5,Belize,0,0,0
2020-3-6,Belize,0,0,0
2020-3-7,Belize,0,0,0
2020-3-8,Belize,0,0,0
2020-3-9,Belize,0,0,0
2020-3-10,Belize,0,0,0
2020-3-11,Belize,0,0,0
2020-3-12,Belize,0,0,0
2020-3-13,Belize,0,0,0
2020-3-14,Belize,0,0,0
2020-3-15,Belize,0,0,0
2020-3-16,Belize,0,0,0
2020-3-17,Belize,0,0,0
2020-3-18,Belize,0,0,0
2020-3-19,Belize,0,0,0
2020-3-20,Belize,0,0,0
2020-3-21,Belize,0,0,0
2020-3-22,Belize,0,0,0
2020-3-23,Belize,1,0,0
2020-3-24,Belize,1,0,0
2020-3-25,Belize,2,0,0
2020-3-26,Belize,2,0,0
2020-1-22,Argentina,0,0,0
2020-1-23,Argentina,0,0,0
2020-1-24,Argentina,0,0,0
2020-1-25,Argentina,0,0,0
2020-1-26,Argentina,0,0,0
2020-1-27,Argentina,0,0,0
2020-1-28,Argentina,0,0,0
2020-1-29,Argentina,0,0,0
2020-1-30,Argentina,0,0,0
2020-1-31,Argentina,0,0,0
2020-2-1,Argentina,0,0,0
2020-2-2,Argentina,0,0,0
2020-2-3,Argentina,0,0,0
2020-2-4,Argentina,0,0,0
2020-2-5,Argentina,0,0,0
2020-2-6,Argentina,0,0,0
2020-2-7,Argentina,0,0,0
2020-2-8,Argentina,0,0,0
2020-2-9,Argentina,0,0,0
2020-2-10,Argentina,0,0,0
2020-2-11,Argentina,0,0,0
2020-2-12,Argentina,0,0,0
2020-2-13,Argentina,0,0,0
2020-2-14,Argentina,0,0,0
2020-2-15,Argentina,0,0,0
2020-2-16,Argentina,0,0,0
2020-2-17,Argentina,0,0,0
2020-2-18,Argentina,0,0,0
2020-2-19,Argentina,0,0,0
2020-2-20,Argentina,0,0,0
2020-2-21,Argentina,0,0,0
2020-2-22,Argentina,0,0,0
2020-2-23,Argentina,0,0,0
2020-2-24,Argentina,0,0,0
2020-2-25,Argentina,0,0,0
2020-2-26,Argentina,0,0,0
2020-2-27,Argentina,0,0,0
2020-2-28,Argentina,0,0,0
2020-2-29,Argentina,0,0,0
2020-3-1,Argentina,0,0,0
2020-3-2,Argentina,0,0,0
2020-3-3,Argentina,1,0,0
2020-3-4,Argentina,1,0,0
2020-3-5,Argentina,1,0,0
2020-3-6,Argentina,2,0,0
2020-3-7,Argentina,8,0,0
2020-3-8,Argentina,12,1,0
2020-3-9,Argentina,12,1,0
2020-3-10,Argentina,17,1,0
2020-3-11,Argentina,19,1,0
2020-3-12,Argentina,19,1,0
2020-3-13,Argentina,31,2,0
2020-3-14,Argentina,34,2,1
2020-3-15,Argentina,45,2,1
2020-3-16,Argentina,56,2,1
2020-3-17,Argentina,68,2,3
2020-3-18,Argentina,79,2,3
2020-3-19,Argentina,97,3,3
2020-3-20,Argentina,128,3,3
2020-3-21,Argentina,158,4,3
2020-3-22,Argentina,266,4,3
2020-3-23,Argentina,301,4,3
2020-3-24,Argentina,387,6,52
2020-3-25,Argentina,387,8,52
2020-3-26,Argentina,502,9,63
2020-1-22,Bolivia,0,0,0
2020-1-23,Bolivia,0,0,0
2020-1-24,Bolivia,0,0,0
2020-1-25,Bolivia,0,0,0
2020-1-26,Bolivia,0,0,0
2020-1-27,Bolivia,0,0,0
2020-1-28,Bolivia,0,0,0
2020-1-29,Bolivia,0,0,0
2020-1-30,Bolivia,0,0,0
2020-1-31,Bolivia,0,0,0
2020-2-1,Bolivia,0,0,0
2020-2-2,Bolivia,0,0,0
2020-2-3,Bolivia,0,0,0
2020-2-4,Bolivia,0,0,0
2020-2-5,Bolivia,0,0,0
2020-2-6,Bolivia,0,0,0
2020-2-7,Bolivia,0,0,0
2020-2-8,Bolivia,0,0,0
2020-2-9,Bolivia,0,0,0
2020-2-10,Bolivia,0,0,0
2020-2-11,Bolivia,0,0,0
2020-2-12,Bolivia,0,0,0
2020-2-13,Bolivia,0,0,0
2020-2-14,Bolivia,0,0,0
2020-2-15,Bolivia,0,0,0
2020-2-16,Bolivia,0,0,0
2020-2-17,Bolivia,0,0,0
2020-2-18,Bolivia,0,0,0
2020-2-19,Bolivia,0,0,0
2020-2-20,Bolivia,0,0,0
2020-2-21,Bolivia,0,0,0
2020-2-22,Bolivia,0,0,0
2020-2-23,Bolivia,0,0,0
2020-2-24,Bolivia,0,0,0
2020-2-25,Bolivia,0,0,0
2020-2-26,Bolivia,0,0,0
2020-2-27,Bolivia,0,0,0
2020-2-28,Bolivia,0,0,0
2020-2-29,Bolivia,0,0,0
2020-3-1,Bolivia,0,0,0
2020-3-2,Bolivia,0,0,0
2020-3-3,Bolivia,0,0,0
2020-3-4,Bolivia,0,0,0
2020-3-5,Bolivia,0,0,0
2020-3-6,Bolivia,0,0,0
2020-3-7,Bolivia,0,0,0
2020-3-8,Bolivia,0,0,0
2020-3-9,Bolivia,0,0,0
2020-3-10,Bolivia,0,0,0
2020-3-11,Bolivia,2,0,0
2020-3-12,Bolivia,2,0,0
2020-3-13,Bolivia,3,0,0
2020-3-14,Bolivia,10,0,0
2020-3-15,Bolivia,10,0,0
2020-3-16,Bolivia,11,0,0
2020-3-17,Bolivia,11,0,0
2020-3-18,Bolivia,12,0,0
2020-3-19,Bolivia,12,0,0
2020-3-20,Bolivia,15,0,0
2020-3-21,Bolivia,19,0,0
2020-3-22,Bolivia,24,0,0
2020-3-23,Bolivia,27,0,0
2020-3-24,Bolivia,29,0,0
2020-3-25,Bolivia,32,0,0
2020-3-26,Bolivia,43,0,0
2020-1-22,Cameroon,0,0,0
2020-1-23,Cameroon,0,0,0
2020-1-24,Cameroon,0,0,0
2020-1-25,Cameroon,0,0,0
2020-1-26,Cameroon,0,0,0
2020-1-27,Cameroon,0,0,0
2020-1-28,Cameroon,0,0,0
2020-1-29,Cameroon,0,0,0
2020-1-30,Cameroon,0,0,0
2020-1-31,Cameroon,0,0,0
2020-2-1,Cameroon,0,0,0
2020-2-2,Cameroon,0,0,0
2020-2-3,Cameroon,0,0,0
2020-2-4,Cameroon,0,0,0
2020-2-5,Cameroon,0,0,0
2020-2-6,Cameroon,0,0,0
2020-2-7,Cameroon,0,0,0
2020-2-8,Cameroon,0,0,0
2020-2-9,Cameroon,0,0,0
2020-2-10,Cameroon,0,0,0
2020-2-11,Cameroon,0,0,0
2020-2-12,Cameroon,0,0,0
2020-2-13,Cameroon,0,0,0
2020-2-14,Cameroon,0,0,0
2020-2-15,Cameroon,0,0,0
2020-2-16,Cameroon,0,0,0
2020-2-17,Cameroon,0,0,0
2020-2-18,Cameroon,0,0,0
2020-2-19,Cameroon,0,0,0
2020-2-20,Cameroon,0,0,0
2020-2-21,Cameroon,0,0,0
2020-2-22,Cameroon,0,0,0
2020-2-23,Cameroon,0,0,0
2020-2-24,Cameroon,0,0,0
2020-2-25,Cameroon,0,0,0
2020-2-26,Cameroon,0,0,0
2020-2-27,Cameroon,0,0,0
2020-2-28,Cameroon,0,0,0
2020-2-29,Cameroon,0,0,0
2020-3-1,Cameroon,0,0,0
2020-3-2,Cameroon,0,0,0
2020-3-3,Cameroon,0,0,0
2020-3-4,Cameroon,0,0,0
2020-3-5,Cameroon,0,0,0
2020-3-6,Cameroon,1,0,0
2020-3-7,Cameroon,1,0,0
2020-3-8,Cameroon,2,0,0
2020-3-9,Cameroon,2,0,0
2020-3-10,Cameroon,2,0,0
2020-3-11,Cameroon,2,0,0
2020-3-12,Cameroon,2,0,0
2020-3-13,Cameroon,2,0,0
2020-3-14,Cameroon,2,0,0
2020-3-15,Cameroon,2,0,0
2020-3-16,Cameroon,4,0,0
2020-3-17,Cameroon,10,0,0
2020-3-18,Cameroon,10,0,0
2020-3-19,Cameroon,13,0,0
2020-3-20,Cameroon,20,0,0
2020-3-21,Cameroon,27,0,0
2020-3-22,Cameroon,40,0,0
2020-3-23,Cameroon,56,0,0
2020-3-24,Cameroon,66,0,0
2020-3-25,Cameroon,75,1,2
2020-3-26,Cameroon,75,1,2
2020-1-22,Burkina Faso,0,0,0
2020-1-23,Burkina Faso,0,0,0
2020-1-24,Burkina Faso,0,0,0
2020-1-25,Burkina Faso,0,0,0
2020-1-26,Burkina Faso,0,0,0
2020-1-27,Burkina Faso,0,0,0
2020-1-28,Burkina Faso,0,0,0
2020-1-29,Burkina Faso,0,0,0
2020-1-30,Burkina Faso,0,0,0
2020-1-31,Burkina Faso,0,0,0
2020-2-1,Burkina Faso,0,0,0
2020-2-2,Burkina Faso,0,0,0
2020-2-3,Burkina Faso,0,0,0
2020-2-4,Burkina Faso,0,0,0
2020-2-5,Burkina Faso,0,0,0
2020-2-6,Burkina Faso,0,0,0
2020-2-7,Burkina Faso,0,0,0
2020-2-8,Burkina Faso,0,0,0
2020-2-9,Burkina Faso,0,0,0
2020-2-10,Burkina Faso,0,0,0
2020-2-11,Burkina Faso,0,0,0
2020-2-12,Burkina Faso,0,0,0
2020-2-13,Burkina Faso,0,0,0
2020-2-14,Burkina Faso,0,0,0
2020-2-15,Burkina Faso,0,0,0
2020-2-16,Burkina Faso,0,0,0
2020-2-17,Burkina Faso,0,0,0
2020-2-18,Burkina Faso,0,0,0
2020-2-19,Burkina Faso,0,0,0
2020-2-20,Burkina Faso,0,0,0
2020-2-21,Burkina Faso,0,0,0
2020-2-22,Burkina Faso,0,0,0
2020-2-23,Burkina Faso,0,0,0
2020-2-24,Burkina Faso,0,0,0
2020-2-25,Burkina Faso,0,0,0
2020-2-26,Burkina Faso,0,0,0
2020-2-27,Burkina Faso,0,0,0
2020-2-28,Burkina Faso,0,0,0
2020-2-29,Burkina Faso,0,0,0
2020-3-1,Burkina Faso,0,0,0
2020-3-2,Burkina Faso,0,0,0
2020-3-3,Burkina Faso,0,0,0
2020-3-4,Burkina Faso,0,0,0
2020-3-5,Burkina Faso,0,0,0
2020-3-6,Burkina Faso,0,0,0
2020-3-7,Burkina Faso,0,0,0
2020-3-8,Burkina Faso,0,0,0
2020-3-9,Burkina Faso,0,0,0
2020-3-10,Burkina Faso,1,0,0
2020-3-11,Burkina Faso,2,0,0
2020-3-12,Burkina Faso,2,0,0
2020-3-13,Burkina Faso,2,0,0
2020-3-14,Burkina Faso,2,0,0
2020-3-15,Burkina Faso,3,0,0
2020-3-16,Burkina Faso,15,0,0
2020-3-17,Burkina Faso,15,0,0
2020-3-18,Burkina Faso,20,1,0
2020-3-19,Burkina Faso,33,1,0
2020-3-20,Burkina Faso,40,1,0
2020-3-21,Burkina Faso,64,2,5
2020-3-22,Burkina Faso,75,4,5
2020-3-23,Burkina Faso,99,4,5
2020-3-24,Burkina Faso,114,4,7
2020-3-25,Burkina Faso,146,4,10
2020-3-26,Burkina Faso,152,7,10
2020-1-22,Ghana,0,0,0
2020-1-23,Ghana,0,0,0
2020-1-24,Ghana,0,0,0
2020-1-25,Ghana,0,0,0
2020-1-26,Ghana,0,0,0
2020-1-27,Ghana,0,0,0
2020-1-28,Ghana,0,0,0
2020-1-29,Ghana,0,0,0
2020-1-30,Ghana,0,0,0
2020-1-31,Ghana,0,0,0
2020-2-1,Ghana,0,0,0
2020-2-2,Ghana,0,0,0
2020-2-3,Ghana,0,0,0
2020-2-4,Ghana,0,0,0
2020-2-5,Ghana,0,0,0
2020-2-6,Ghana,0,0,0
2020-2-7,Ghana,0,0,0
2020-2-8,Ghana,0,0,0
2020-2-9,Ghana,0,0,0
2020-2-10,Ghana,0,0,0
2020-2-11,Ghana,0,0,0
2020-2-12,Ghana,0,0,0
2020-2-13,Ghana,0,0,0
2020-2-14,Ghana,0,0,0
2020-2-15,Ghana,0,0,0
2020-2-16,Ghana,0,0,0
2020-2-17,Ghana,0,0,0
2020-2-18,Ghana,0,0,0
2020-2-19,Ghana,0,0,0
2020-2-20,Ghana,0,0,0
2020-2-21,Ghana,0,0,0
2020-2-22,Ghana,0,0,0
2020-2-23,Ghana,0,0,0
2020-2-24,Ghana,0,0,0
2020-2-25,Ghana,0,0,0
2020-2-26,Ghana,0,0,0
2020-2-27,Ghana,0,0,0
2020-2-28,Ghana,0,0,0
2020-2-29,Ghana,0,0,0
2020-3-1,Ghana,0,0,0
2020-3-2,Ghana,0,0,0
2020-3-3,Ghana,0,0,0
2020-3-4,Ghana,0,0,0
2020-3-5,Ghana,0,0,0
2020-3-6,Ghana,0,0,0
2020-3-7,Ghana,0,0,0
2020-3-8,Ghana,0,0,0
2020-3-9,Ghana,0,0,0
2020-3-10,Ghana,0,0,0
2020-3-11,Ghana,0,0,0
2020-3-12,Ghana,0,0,0
2020-3-13,Ghana,0,0,0
2020-3-14,Ghana,3,0,0
2020-3-15,Ghana,6,0,0
2020-3-16,Ghana,6,0,0
2020-3-17,Ghana,7,0,0
2020-3-18,Ghana,7,0,0
2020-3-19,Ghana,11,0,0
2020-3-20,Ghana,16,0,0
2020-3-21,Ghana,19,1,0
2020-3-22,Ghana,23,1,0
2020-3-23,Ghana,27,2,0
2020-3-24,Ghana,53,2,0
2020-3-25,Ghana,93,4,0
2020-3-26,Ghana,132,4,1
2020-1-22,Saudi Arabia,0,0,0
2020-1-23,Saudi Arabia,0,0,0
2020-1-24,Saudi Arabia,0,0,0
2020-1-25,Saudi Arabia,0,0,0
2020-1-26,Saudi Arabia,0,0,0
2020-1-27,Saudi Arabia,0,0,0
2020-1-28,Saudi Arabia,0,0,0
2020-1-29,Saudi Arabia,0,0,0
2020-1-30,Saudi Arabia,0,0,0
2020-1-31,Saudi Arabia,0,0,0
2020-2-1,Saudi Arabia,0,0,0
2020-2-2,Saudi Arabia,0,0,0
2020-2-3,Saudi Arabia,0,0,0
2020-2-4,Saudi Arabia,0,0,0
2020-2-5,Saudi Arabia,0,0,0
2020-2-6,Saudi Arabia,0,0,0
2020-2-7,Saudi Arabia,0,0,0
2020-2-8,Saudi Arabia,0,0,0
2020-2-9,Saudi Arabia,0,0,0
2020-2-10,Saudi Arabia,0,0,0
2020-2-11,Saudi Arabia,0,0,0
2020-2-12,Saudi Arabia,0,0,0
2020-2-13,Saudi Arabia,0,0,0
2020-2-14,Saudi Arabia,0,0,0
2020-2-15,Saudi Arabia,0,0,0
2020-2-16,Saudi Arabia,0,0,0
2020-2-17,Saudi Arabia,0,0,0
2020-2-18,Saudi Arabia,0,0,0
